"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Torres, Gleyber",650402,2022,572,22.6,6.8,0.328,0.319,36.2,10.7,45.3,100.5348042,94.66005785,27.2,49.6
"Pham, Tommy",502054,2022,622,26.8,9,0.304,0.311,33.2,7.9,48.5,102.5144374,95.77810144,26,42
"Correa, Carlos",621043,2022,590,20.5,10.3,0.362,0.36,35.3,11.4,44.7,101.9928733,95.28420077,22,44.4
"Kwan, Steven",680757,2022,638,9.4,9.7,0.341,0.312,34.6,1.4,20.8,94.21905829,91.13424849,9,38.1
"Rojas, Josh",668942,2022,510,19.2,10.8,0.326,0.305,33.5,4.5,36.1,98.05044413,93.26504834,22.3,41
"Kirk, Alejandro",672386,2022,541,10.7,11.6,0.347,0.351,32,6.7,45.4,101.0533047,94.98953761,15.4,41
"Turner, Justin",457759,2022,532,16.7,9.4,0.343,0.339,40.6,8,40.6,99.00254565,93.73685852,20.3,48.2
"Cruz, Nelson",443558,2022,507,23.5,9.7,0.292,0.32,28,9.3,46.1,102.2983806,95.46897826,32,50.8
"Semien, Marcus",543760,2022,724,16.6,7.3,0.317,0.306,32.4,6.8,34.9,97.83862434,93.00847117,20.6,47.2
"Arenado, Nolan",571448,2022,620,11.6,8.4,0.381,0.339,35.4,8.2,38.9,99.55856672,93.95281086,19.1,48.4
"Hernández, Teoscar",606192,2022,535,28.4,6.4,0.348,0.351,36.3,15,53.3,103.4204195,96.49671787,35.1,48.8
"Judge, Aaron",592450,2022,696,25.1,15.9,0.458,0.463,39,26.5,61.9,107.1100727,99.05335922,29.8,42.7
"Rojas, Miguel",500743,2022,507,12,5.1,0.268,0.289,33.1,1.9,27.1,96.24996063,92.12600185,15.8,47.9
"LeMahieu, DJ",518934,2022,541,13.1,12.4,0.329,0.344,32.8,5.3,41.1,99.49962849,94.04807549,15.7,39.5
"Hernández, César",514917,2022,617,18.5,7.3,0.283,0.29,33.3,2.4,29.7,96.44926705,92.25732993,21,47.5
"Hays, Austin",669720,2022,582,19.6,5.8,0.314,0.298,32.3,5.2,37.7,98.99792243,93.54316598,23.5,51
"Bohm, Alec",664761,2022,631,17.4,4.9,0.31,0.333,37.7,6.8,43,100.6498734,94.55257982,21.1,51.2
"Blackmon, Charlie",453568,2022,577,18.9,5.5,0.317,0.301,36.7,4.4,30.6,97.42643533,92.73212843,21.4,51.5
"Farmer, Kyle",571657,2022,583,17,5.7,0.309,0.311,37.7,4.4,33.8,97.05025209,92.53402733,19.4,50.3
"Kiner-Falefa, Isiah",643396,2022,531,13.6,6.6,0.285,0.29,29.6,1.2,30.1,96.61469272,92.35514324,11.3,44.7
"Rengifo, Luis",650859,2022,511,15.5,3.3,0.314,0.296,31.1,5.4,33.6,98.09743639,93.09632474,21.5,55.7
"McCutchen, Andrew",457705,2022,580,21.4,9.8,0.309,0.322,36.2,8.6,40,99.92693269,94.14316084,24.2,44.9
"Freeman, Freddie",518692,2022,708,14.4,11.9,0.393,0.4,42.9,9.9,47.8,100.761588,95.09426949,19.5,49.3
"Hayes, Ke'Bryan",663647,2022,560,21.8,8.6,0.294,0.3,30.6,3.9,46.8,102.2632138,95.47704675,20.7,43.3
"Goldschmidt, Paul",502671,2022,651,21.7,12.1,0.419,0.367,31.8,11.6,47.4,102.2446082,95.4401523,26.8,41.7
"Renfroe, Hunter",592669,2022,522,23.2,7.5,0.347,0.323,32.7,10.9,43.6,101.6459813,95.17318839,27,47.8
"Varsho, Daulton",662139,2022,592,24.5,7.8,0.323,0.298,33.6,10.2,35.6,99.2117259,93.6867316,25.3,50.6
"Lindor, Francisco",596019,2022,706,18.8,8.4,0.342,0.331,29.2,8.3,41.3,99.74056542,94.14308743,22.9,47.8
"Melendez, MJ",669004,2022,534,24.5,12.4,0.31,0.332,31,10.4,43.5,100.5958883,94.71638371,27.8,44.6
"Schwarber, Kyle",656941,2022,669,29.9,12.9,0.355,0.375,35.4,20.1,54.4,104.7938573,97.24755537,29.4,40.6
"Ohtani, Shohei",660271,2022,666,24.2,10.8,0.37,0.383,35,16.8,49.8,103.8236243,96.52036379,28.1,49.3
"Crawford, J.P.",641487,2022,603,13.3,11.3,0.306,0.315,32.4,2,29.7,96.66364771,92.35483867,14.3,41.3
"Hoskins, Rhys",656555,2022,672,25.1,10.7,0.345,0.338,37.3,11.1,44.3,100.842285,94.80461664,25.7,41.9
"Schoop, Jonathan",570731,2022,510,21,3.7,0.245,0.268,29.1,4.8,38.6,99.96762856,93.99379126,28.2,55.5
"Winker, Jesse",608385,2022,547,18.8,15.4,0.313,0.345,32,7.6,34.3,98.67449927,93.33925449,19.9,43.3
"Murphy, Sean",669221,2022,612,20.3,9.2,0.331,0.344,34.7,10.5,41.4,101.0851588,94.70689144,24,49.3
"Giménez, Andrés",665926,2022,557,20.1,6.1,0.364,0.326,31.3,6.2,37.8,99.022592,93.61597635,26.4,53.7
"Cronenworth, Jake",630105,2022,684,19.2,10.2,0.318,0.303,32.3,5.6,34.1,97.91736283,93.09191804,18,41.8
"Pollock, AJ",572041,2022,527,18.6,6.1,0.297,0.317,32.9,9.4,42,100.4143192,94.34853632,24.7,53.6
"Benintendi, Andrew",643217,2022,521,14.8,10,0.342,0.334,39.2,5.1,38.7,98.21078057,93.39163635,20.7,48.2
"Mullins, Cedric",656775,2022,672,18.8,7,0.315,0.288,29.3,4.9,37.3,98.89523136,93.56958269,22.2,51.3
"Rosario, Amed",642708,2022,670,16.6,3.7,0.311,0.31,31.1,4.5,38.3,99.69020113,93.99199053,21,53.1
"Tucker, Kyle",663656,2022,609,15.6,9.7,0.348,0.353,34.4,10.2,42.4,100.3325604,94.46828804,20,52.7
"Estrada, Thairo",642731,2022,541,16.5,6.1,0.317,0.299,31.6,4.4,31.1,97.09214635,92.54814231,20.3,49.2
"Drury, Brandon",592273,2022,568,22.2,6.7,0.35,0.316,34.8,10.4,42.2,100.5868921,94.43899832,21.5,45.9
"Rizzo, Anthony",519203,2022,548,18.4,10.6,0.352,0.349,33.9,10.9,40.8,99.61226863,94.10255401,22.8,46.1
"Bregman, Alex",608324,2022,656,11.7,13.3,0.358,0.35,36.2,7.3,37.8,98.37864533,93.36413902,14.9,40.3
"Rodríguez, Julio",677594,2022,560,25.9,7.1,0.366,0.337,32.7,13.1,50.7,103.7187958,96.37900645,30.4,50.2
"Aguilar, Jesús",542583,2022,507,23.5,5.5,0.288,0.298,39.7,6.9,36,98.45975354,93.30100307,27,49.5
"Bichette, Bo",666182,2022,697,22.2,5.9,0.347,0.33,33.3,9.6,50.3,102.7431713,96.00327885,23,55.9
"Swanson, Dansby",621020,2022,696,26.1,7,0.337,0.337,37,10.8,46.3,100.8392096,94.81034195,30.7,49.4
"Verdugo, Alex",657077,2022,644,13.4,6.5,0.319,0.329,37.8,6,38.2,99.11257424,93.70648682,15.5,45.3
"Nimmo, Brandon",607043,2022,673,17.2,10.5,0.353,0.338,28.1,7,39.8,100.2513017,94.35469848,19.6,43.8
"Mateo, Jorge",622761,2022,533,27.6,5.1,0.281,0.272,35.5,6,32.7,98.63578407,93.33727959,31.1,53.9
"Tellez, Rowdy",642133,2022,599,20.2,10.4,0.327,0.349,31.4,12.9,46,102.5538389,95.69056721,23.8,43.5
"Arozarena, Randy",668227,2022,645,24.2,7.1,0.336,0.297,28.2,7.9,41,101.17822,94.77219512,28.7,46.1
"Ward, Taylor",621493,2022,564,21.3,10.6,0.362,0.361,41.8,12.4,42.9,100.1845719,94.43955003,22.3,41.4
"Walker, Christian",572233,2022,667,19.6,10.3,0.346,0.359,33.3,11.5,44,101.4663712,95.00141326,24.6,44.7
"Santana, Carlos",467793,2022,506,17.4,14,0.308,0.352,31.6,9.3,44.9,100.9937085,94.85106023,21.3,42.6
"Kim, Ha-Seong",673490,2022,582,17.2,8.8,0.313,0.309,34,4.2,32.4,97.64756766,92.86931273,19.1,43.3
"Chapman, Matt",656305,2022,621,27.4,11,0.331,0.341,34,12.9,51.2,102.9066062,96.2236307,28.7,41.7
"Devers, Rafael",646240,2022,614,18.6,8.1,0.373,0.361,33.1,11.5,50.9,103.7842392,96.70440247,28.2,54.6
"Rodgers, Brendan",663898,2022,581,17.4,7.9,0.321,0.326,31.3,7.2,45.9,101.127645,94.8828646,22.7,49.4
"Muncy, Max",571970,2022,565,25,15.9,0.318,0.339,34.3,13.4,45.6,100.4884562,94.68075604,26.1,38.6
"Donaldson, Josh",518626,2022,546,27.1,9.9,0.302,0.299,34.8,9.8,43.3,100.9776004,94.86794976,33.3,47.3
"France, Ty",664034,2022,613,15.3,5.7,0.337,0.321,34.8,5.4,36.8,99.03516332,93.56526468,19.3,52.5
"Straw, Myles",664702,2022,596,14.6,9.1,0.257,0.275,34.1,0.7,26.5,95.48612453,91.78423648,12.6,40.5
"Cron, C.J.",543068,2022,632,25.9,6.8,0.335,0.32,36.8,10.8,42.3,101.4101989,94.86748477,24.3,47.7
"Guerrero Jr., Vladimir",665489,2022,706,16.4,8.2,0.351,0.351,27.9,11.2,50.4,105.5070386,97.32861979,24.4,49.7
"Betts, Mookie",605141,2022,639,16.3,8.6,0.373,0.344,36.2,9.7,44.9,99.95446604,94.49707275,16.5,44.2
"Alvarez, Yordan",670541,2022,561,18.9,13.9,0.427,0.46,40.7,21,59.8,105.6769851,98.19592332,23.5,42.7
"Reynolds, Bryan",668804,2022,614,23,9.1,0.349,0.329,35.5,7.9,42.9,100.8825786,94.72279256,27.8,50.4
"Bell, Josh",605137,2022,647,15.8,12.5,0.344,0.346,30.7,7.2,40.8,100.5513575,94.51158479,21.7,45.3
"Grichuk, Randal",545341,2022,538,23.6,4.5,0.315,0.281,27.3,6.8,43.6,101.6014959,95.06614571,24.7,50.6
"Frazier, Adam",624428,2022,602,12.1,7.6,0.274,0.297,37.7,1.5,24.5,95.04813587,91.52406794,14.4,48.7
"McMahon, Ryan",641857,2022,597,26.5,10.1,0.326,0.33,36.4,10.4,46.5,102.0943837,95.68919943,28.2,45.2
"Santander, Anthony",623993,2022,647,18.9,8.5,0.336,0.352,33.5,11.6,43.3,101.3309981,94.97913294,21.5,47.7
"Ramírez, José",608070,2022,685,12,10.1,0.363,0.32,33.7,6.6,36.9,98.87194481,93.50343418,15.3,46.3
"Wisdom, Patrick",621550,2022,534,34.3,9.9,0.316,0.295,29.8,14.2,46.3,102.1640324,95.69587399,36.5,48.1
"Vaughn, Andrew",683734,2022,555,17.3,5.6,0.327,0.319,34.1,7.9,48.6,101.1629503,95.12858284,21,47
"Urshela, Gio",570482,2022,551,17.4,7.4,0.332,0.323,38.6,7,37.6,99.1205524,93.73687591,21.4,53.1
"Andrus, Elvis",462101,2022,577,15.9,6.8,0.31,0.293,29.1,4.5,34.8,98.3360037,93.23664764,21.4,45.6
"Marte, Ketel",606466,2022,558,18.1,9.9,0.317,0.315,31.6,6.1,41.9,101.2027546,94.84502706,20.7,46.1
"Turner, Trea",607208,2022,708,18.5,6.4,0.35,0.335,35.3,7.6,41.6,100.1881989,94.23885496,26.3,51.2
"Yastrzemski, Mike",573262,2022,558,25.3,10.9,0.307,0.314,36.2,11.1,42.5,99.83096607,94.25109824,22.7,42.9
"Seager, Corey",608369,2022,663,15.5,8.7,0.331,0.37,38.4,10.5,45.5,101.5983056,95.21954225,26.5,54.5
"Machado, Manny",592518,2022,644,20.7,9.8,0.382,0.338,36.7,9.8,49,102.6227068,95.79049553,24.9,50.8
"Springer, George",543807,2022,583,17.2,9.3,0.352,0.342,31.8,8.4,42.3,101.3205071,94.7684918,28.2,50.9
"Bellinger, Cody",641355,2022,550,27.3,6.9,0.284,0.278,34.4,8.3,38.1,98.14998383,93.24369423,27.2,49.9
"Smith, Will",669257,2022,578,16.6,9.7,0.349,0.349,36.8,10.3,43,99.7645651,94.18846426,19.3,42.6
"Olson, Matt",621566,2022,699,24.3,10.7,0.344,0.347,33.8,13.6,50.9,103.6650999,96.54568049,28.9,49.5
"Voit, Luke",572228,2022,568,31.5,9.7,0.311,0.322,34.6,14.7,44.3,101.4118716,94.98573844,37.6,52
"Hoerner, Nico",663538,2022,517,11,5.4,0.32,0.301,32.4,2.6,33.5,97.67897188,92.92053111,14.2,49.2
"Mancini, Trey",641820,2022,587,23,9,0.312,0.327,39.6,9.8,40.4,100.0785861,94.25665438,27.4,48.1
"Suárez, Eugenio",553993,2022,629,31.2,11.6,0.344,0.339,36.4,14.8,43.5,100.6918185,94.68188581,33.1,41.8
"Báez, Javier",595879,2022,590,24.9,4.4,0.291,0.281,29.7,8,38,99.68913118,93.89037623,35.8,55.8
"Soto, Juan",665742,2022,664,14.5,20.3,0.376,0.401,28.5,12.4,47.4,102.2369341,95.65388885,19.4,35.5
"Arraez, Luis",650333,2022,603,7.1,8.3,0.35,0.333,38.7,3.6,30.2,96.19500435,92.27675704,7.1,42.9
"Riley, Austin",663586,2022,693,24.2,8.2,0.377,0.378,37.7,15.7,50.8,104.3983002,96.78517153,27.6,51.5
"Grisham, Trent",663757,2022,524,28.6,10.9,0.28,0.293,25.5,8.1,35.5,99.46593125,93.84436934,26.2,38.7
"Happ, Ian",664023,2022,641,23.2,9,0.339,0.306,29.2,6.5,40.4,100.3124084,94.40556629,27.2,49
"Yelich, Christian",592885,2022,671,24.1,13.1,0.328,0.335,30.3,8.2,48.6,102.9848921,96.02085245,25.1,43.2
"Thomas, Lane",657041,2022,548,24.1,7.5,0.308,0.286,32.6,6.5,34.5,98.44952228,93.25545847,21.1,44.1
"Díaz, Yandy",650490,2022,558,10.8,14,0.366,0.365,30.7,4.8,49,103.1078382,96.20855988,14.3,41.3
"Gurriel, Yuli",493329,2022,584,12.5,5.1,0.285,0.271,30.3,1.9,35.6,98.29120013,93.2704253,14.3,48.5
"Canha, Mark",592192,2022,542,17.9,8.9,0.343,0.323,32.2,4.9,36.6,98.31769832,93.26138065,22.2,42.9
"Edman, Tommy",669242,2022,630,17.6,7.3,0.318,0.308,31.6,6.2,37.8,98.93164832,93.59866454,20.6,47
"Mountcastle, Ryan",663624,2022,609,25.3,7.1,0.316,0.362,39.5,15,46.3,101.9414942,95.33516339,29.8,56.2
"Abreu, José",547989,2022,679,16.2,9.1,0.361,0.373,34.5,9.5,51.8,102.9536065,96.20270568,23.2,47.3
"Altuve, Jose",514888,2022,604,14.4,10.9,0.397,0.354,35.4,7.7,29.7,97.30024642,92.67107254,16.3,44.3
"Profar, Jurickson",595777,2022,658,15.7,11.1,0.32,0.315,34.7,4,34.3,97.85946856,92.98708518,18.8,43.6
"Adames, Willy",642715,2022,617,26.9,7.9,0.325,0.323,36.4,13,43.6,100.0990027,94.30079359,28.2,49.6
"Merrifield, Whit",593160,2022,550,15.5,6.9,0.294,0.288,37.9,4.2,31.1,96.38345986,92.27510481,19.4,50.9
"Martinez, J.D.",502110,2022,596,24.3,8.7,0.343,0.349,42,12.5,41.7,100.923947,94.70783635,30.1,51.9
"García, Adolis",666969,2022,657,27.9,6.1,0.324,0.322,36.9,12.9,47.4,102.3687801,95.78686739,33.5,53.5
"McNeil, Jeff",643446,2022,589,10.4,6.8,0.365,0.323,39,2.7,30.2,96.27527869,92.17201565,15.9,53.8
"Acuña Jr., Ronald",660670,2022,533,23.6,9.9,0.335,0.366,32.8,12.8,49.7,103.7593181,96.44006428,24.9,47.9
"Escobar, Eduardo",500871,2022,542,23.8,7.4,0.311,0.314,38.7,9.4,37.6,99.2900729,93.79968978,27.7,52.4
"Peña, Jeremy",665161,2022,558,24.2,3.9,0.309,0.304,32.9,9.7,36.7,99.80356365,93.99255276,29.7,55.2
"Castellanos, Nick",592206,2022,558,23.3,5.2,0.304,0.302,36.9,6.6,35.1,98.39303284,93.29337043,32.2,57
"Marte, Starling",516782,2022,505,19.2,5.1,0.355,0.336,38.5,6.8,33.9,99.15354484,93.59517937,24.3,49.8
"Bogaerts, Xander",593428,2022,631,18.7,9,0.363,0.323,30.3,6.5,39.5,99.97943964,94.08380455,24.8,45.7
"Witt Jr., Bobby",677951,2022,632,21.4,4.7,0.311,0.313,32.5,8.7,38.6,100.8365068,94.52711551,25.2,51.8
"Brown, Seth",664913,2022,555,26.3,9.2,0.323,0.338,34.9,13,41.4,101.7234293,95.00122207,29.6,48.3
"Ozuna, Marcell",542303,2022,507,24.1,6.1,0.298,0.334,31.8,13.1,43.8,101.7751419,95.03504771,28.7,49.4
"Flores, Wilmer",527038,2022,602,17.1,9.8,0.312,0.31,35.7,6.3,35.4,97.67201381,92.96352809,18.9,45.6
"Kemp, Tony",643393,2022,558,12.4,8.1,0.287,0.267,33.9,1.6,14.9,93.05015514,90.54571364,13.4,48.9
"Realmuto, J.T.",592663,2022,562,21.2,7.3,0.354,0.351,35.6,11.3,47.2,101.2528936,95.15756918,25.7,49
"Alonso, Pete",624413,2022,685,18.7,9.8,0.366,0.353,34.5,12.3,44.8,102.8492154,95.61651655,24.2,49.9
"Lowe, Nathaniel",663993,2022,645,22.8,7.4,0.368,0.344,34.1,9.9,44.8,101.9639162,95.31722971,24.9,52.2
"Verdugo, Alex",657077,2023,602,15.4,7.5,0.322,0.331,35.4,5,37.6,99.11699373,93.70117686,15.6,40.9
"Benintendi, Andrew",643217,2023,621,14.3,8.4,0.299,0.31,40.9,2.9,27,95.49807521,91.7573917,19.3,49
"Harris II, Michael",671739,2023,539,18.7,4.6,0.345,0.357,34.6,10,48.5,103.5867895,96.13149661,24.4,52.9
"Semien, Marcus",543760,2023,753,14.6,9.6,0.354,0.333,37.5,6.5,37,98.08417844,93.18925819,18,47.1
"Abreu, José",547989,2023,594,21.9,7.1,0.295,0.314,32.5,8.7,41.6,100.8218336,94.59770588,26.4,50.1
"Correa, Carlos",621043,2023,580,22.6,10.2,0.309,0.327,31.1,9.6,45.9,102.4812306,95.63552798,25.1,43.6
"McKinstry, Zach",656716,2023,518,21.8,8.5,0.289,0.312,37.1,7.6,33.5,97.72667824,92.94097165,20.5,47.3
"Ruiz, Keibert",660688,2023,562,10.3,5.5,0.31,0.322,39.4,5.8,31.9,97.26373318,92.68149508,14.3,51.1
"Hoerner, Nico",663538,2023,688,12.1,7.1,0.322,0.311,33.2,1.8,33.4,97.32047285,92.69513165,12.5,45.6
"Crawford, J.P.",641487,2023,638,19.6,14.7,0.359,0.34,35.3,4.8,36.2,99.14310157,93.64944262,18.6,38.6
"Suwinski, Jack",669261,2023,534,32.2,14,0.341,0.346,34.2,15.7,43.4,102.1733771,95.31629273,30.1,39
"Freeman, Freddie",518692,2023,730,16.6,9.9,0.411,0.406,46.6,11.1,42.2,100.5906383,94.61766154,20.4,51
"Contreras, William",661388,2023,611,20.6,10.3,0.357,0.335,27.1,9.4,48.7,103.2413294,96.0978465,28,43.2
"Candelario, Jeimer",600869,2023,576,22,9.2,0.346,0.318,36.9,7.9,36.4,99.185208,93.70802918,24.2,47.4
"Rutschman, Adley",668939,2023,687,14.7,13.4,0.352,0.373,37,7.5,38.6,99.61445077,93.93727848,15.6,41
"Edman, Tommy",669242,2023,528,15.9,6.6,0.306,0.312,27.9,5,38.8,99.45671773,93.8658928,16.1,45.7
"Yoshida, Masataka",807799,2023,580,14,5.9,0.339,0.325,29.5,6.6,40.6,100.1238132,94.28056556,18.3,43.3
"Harper, Bryce",547180,2023,546,21.8,14.7,0.384,0.399,36.8,15.2,46.8,103.8398129,96.23548615,33.5,51.4
"Carroll, Corbin",682998,2023,645,19.4,8.8,0.37,0.344,32.7,7.6,40.9,100.9725632,94.78060474,21.6,45.8
"Stephenson, Tyler",663886,2023,517,26.1,9.1,0.305,0.314,33.5,7.6,43.5,100.0307448,94.35702064,28.4,42.5
"Jung, Josh",673962,2023,515,29.3,5.8,0.334,0.337,41.9,11.9,47.4,101.6205261,95.37320079,29.7,51.8
"Betts, Mookie",605141,2023,693,15.4,13.9,0.416,0.407,42.5,12.4,48.5,100.8656747,95.28290971,16.7,38.1
"Happ, Ian",664023,2023,691,22.1,14.3,0.345,0.35,36.7,9,39,99.67693633,94.12189188,25.3,44.4
"Bellinger, Cody",641355,2023,556,15.6,7.2,0.37,0.327,38,6.1,31.4,97.66154406,92.87437239,20.1,49.9
"Paredes, Isaac",670623,2023,571,18.2,10.2,0.362,0.315,32.4,5.9,28.5,96.37268387,92.20536106,18.2,45.6
"Steer, Spencer",668715,2023,665,20.9,10.2,0.355,0.333,35.3,6.7,37.1,99.16756743,93.7418968,24.1,43.8
"Rooker, Brent",667670,2023,526,32.7,9.3,0.348,0.343,37.3,15.6,49.5,102.6538914,95.96222586,38.2,46.1
"Casas, Triston",671213,2023,502,25.1,13.9,0.367,0.37,36.1,13.1,46.6,102.6166923,95.68696026,28.1,43.6
"Springer, George",543807,2023,683,18.3,8.8,0.32,0.332,32.2,7.7,39.9,100.348511,94.29779276,22.3,49.3
"Ohtani, Shohei",660271,2023,599,23.9,15.2,0.433,0.427,35.6,19.6,54.2,105.7485591,97.76905781,32.3,48.2
"Torkelson, Spencer",679529,2023,684,25,9.8,0.326,0.349,33.2,14.1,50.9,102.6919284,96.0020455,24.7,46.2
"Merrifield, Whit",593160,2023,592,17.1,6.1,0.304,0.276,37.2,2.4,24.3,94.8808358,91.45301902,19.5,51.1
"Bregman, Alex",608324,2023,724,12,12.7,0.351,0.351,35.8,5.4,38.2,98.07153773,93.24896069,14.1,38.7
"Rodríguez, Julio",677594,2023,714,24.5,6.6,0.347,0.345,31.8,11.9,52,104.0822877,96.81236642,28.3,53.9
"Rosario, Amed",642708,2023,545,18.2,5.3,0.297,0.305,33.8,3.4,39.4,99.50158271,93.94178458,23.1,53.4
"Giménez, Andrés",665926,2023,616,18.2,5.2,0.309,0.297,29.9,5.5,27,96.66393413,92.34420191,25.4,54.6
"Meneses, Joey",608841,2023,657,19.8,5.8,0.314,0.288,32.9,5.4,41.7,99.92936409,94.23746824,23.6,47.6
"Anderson, Tim",641313,2023,524,23.3,5,0.26,0.279,32.4,2.9,39.4,99.22965129,93.71364038,25.3,53.5
"Machado, Manny",592518,2023,601,18.1,8.3,0.334,0.332,30.2,10.5,45.9,102.375377,95.52538171,23.9,49.3
"Garcia, Maikel",672580,2023,515,22.3,7.4,0.299,0.319,36.9,3.9,50.6,101.5386047,95.50056541,19.5,43.1
"Hayes, Ke'Bryan",663647,2023,525,19.8,5.3,0.324,0.321,34.1,7.4,48.3,101.6732636,95.45084632,21.2,45.6
"Smith, Dominic",642086,2023,586,15.5,8,0.306,0.32,37,6.6,30.8,97.22508872,92.63185096,19.9,49
"Suárez, Eugenio",553993,2023,694,30.8,10.1,0.313,0.324,37.7,13.2,43,100.6611155,94.72666532,32.8,44.5
"Reynolds, Bryan",668804,2023,640,21.6,8.3,0.338,0.36,36.9,11.1,47.3,101.0228343,94.95706503,28.2,47.4
"Seager, Corey",608369,2023,536,16.4,9.1,0.419,0.409,38,15.2,53.2,103.5434935,96.78594896,25,55.1
"Santana, Carlos",467793,2023,619,16.8,10.5,0.323,0.308,31.3,6.7,36.4,99.367236,93.79121307,22.1,45.3
"India, Jonathan",663697,2023,529,20.6,9.8,0.327,0.339,37.2,7.7,38.6,99.67693429,94.0396352,22,38.6
"Bohm, Alec",664761,2023,611,15.4,6.9,0.329,0.343,35.1,5.7,41.7,100.435445,94.40014721,18.1,49.8
"Bell, Josh",605137,2023,617,21.7,10.2,0.323,0.342,31.3,10.1,43,101.6111868,94.95555995,25.8,47.7
"France, Ty",664034,2023,665,17.6,6.5,0.315,0.342,36.9,6.8,38.6,99.27787132,93.76594522,21.9,53.2
"Hernández, Teoscar",606192,2023,678,31.1,5.6,0.317,0.336,35.2,13.8,49.4,103.0146815,96.10959258,35.8,53.6
"Castellanos, Nick",592206,2023,671,27.6,5.4,0.335,0.32,36.5,10.3,43.2,100.3894813,94.41914303,35.4,56.2
"Drury, Brandon",592273,2023,523,26,4.8,0.339,0.318,35,11,46.3,101.8087527,95.13279457,30.2,51.6
"Olson, Matt",621566,2023,720,23.2,14.4,0.413,0.392,31,16.4,55.5,104.8252768,97.31408439,28.4,46.8
"Stott, Bryson",681082,2023,640,15.6,6.1,0.323,0.309,36.4,4.7,35.2,97.37913616,92.80244509,15.3,45
"Turner, Justin",457759,2023,626,17.6,8.1,0.346,0.336,36.8,5.7,39,98.56736824,93.58703223,17.5,45
"Díaz, Yandy",650490,2023,600,15.7,10.8,0.402,0.383,30.5,9.5,54,104.2851777,97.07456875,18.4,42.6
"Swanson, Dansby",621020,2023,638,24.1,10.3,0.325,0.345,35.1,10.9,39.7,99.81740922,94.10753236,28.7,47.3
"Arraez, Luis",650333,2023,617,5.5,5.7,0.369,0.354,44.7,3.5,25.7,95.65890066,92.00945421,7.9,51
"Straw, Myles",664702,2023,518,18.7,8.1,0.268,0.272,34,0.5,23.3,95.14136829,91.59321227,14.1,44
"Abrams, CJ",682928,2023,614,19.2,5.2,0.306,0.304,32.6,6.9,35.9,98.81493324,93.4263573,22.5,53.5
"Lowe, Nathaniel",663993,2023,724,22.8,12.8,0.34,0.339,36.7,6.5,41.6,101.145952,94.82027748,20.6,43.8
"Nimmo, Brandon",607043,2023,682,21.4,10.9,0.359,0.352,33.5,9.5,47.9,101.50757,95.46272684,22,42.4
"Thomas, Lane",657041,2023,682,25.8,5.3,0.334,0.319,36.8,9.6,40.7,100.191574,94.319062,23,43.6
"Díaz, Elias",553869,2023,526,22.4,6.5,0.314,0.296,31.2,6.2,38.4,100.0351075,94.07164848,28.4,54.8
